clarity,price,cut_Fair,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_D,color_E,color_F,color_G,color_H,color_I,color_J,carat,depth,table,x,y,z
3,1087,0,0,1,0,0,0,0,0,1,0,0,0,-0.8009263805836337,0.3103853259795094,-1.5769331318251971,-0.8180689551555664,-0.7697824574351206,-0.7939066748138807
5,7260,0,0,0,0,1,0,0,0,1,0,0,0,0.418384430809663,-0.8820779563092774,2.08681097958855,0.5807120156591902,0.56736397588825,0.4825242719613653
2,611,0,1,0,0,0,0,0,0,0,0,1,0,-0.82194898078007,1.4327037093101265,-0.203029090045042,-0.9517104491824544,-0.8513157765402039,-0.7939066748138807
5,740,0,0,0,0,1,0,0,0,1,0,0,0,-0.9691071821551229,0.38053022493766925,0.7129069378083949,-1.1477179737552228,-1.0306890785713876,-1.0950870105698383
7,873,0,0,1,0,0,0,0,1,0,0,0,0,-1.0531975829408677,-0.671643259434788,-0.203029090045042,-1.2457217360416073,-1.1122223976764716,-1.2815319803235259
3,1913,0,0,0,1,0,1,0,0,0,0,0,0,-0.5486551782263999,-0.11048406776947446,-1.1189651178984787,-0.40823504013977774,-0.41103585337275267,-0.435358656056789
3,648,0,0,0,1,0,0,0,0,0,1,0,0,-1.0111523825479953,-1.5835269458909156,0.25493892388167644,-1.1031708090795935,-1.0388424104818963,-1.2528481388229584
5,2496,0,0,0,1,0,0,0,0,0,0,1,0,-0.14922577449411312,-0.8119330573511125,0.25493892388167644,0.03723660661651435,0.07816406125774836,-0.03378487504884656
2,647,0,0,1,0,0,0,0,0,1,0,0,0,-1.0111523825479953,-0.18062896672763926,-1.1189651178984787,-1.1922651384308518,-1.0633024062134209,-1.1811385350715398
2,14190,0,0,0,1,0,0,1,0,0,0,0,0,1.9109890447566296,0.3103853259795094,0.25493892388167644,1.6676628337445434,1.5702238008807774,1.7302713772360445
6,1069,0,0,1,0,0,1,0,0,0,0,0,0,-1.0531975829408677,-0.4612085625602935,-0.203029090045042,-1.227902870171355,-1.1448357253185049,-1.2671900595732417
3,1061,0,0,0,1,0,0,0,0,1,0,0,0,-0.82194898078007,0.029805730146850177,0.7129069378083949,-0.8715255527663219,-0.8350091127191875,-0.8799581993155827
4,1668,0,0,1,0,0,0,0,0,0,1,0,0,-0.6117229788157084,-0.11048406776947446,-1.1189651178984787,-0.5062388024261623,-0.4518025129252943,-0.5070682598082077
1,958,0,1,0,0,0,1,0,0,0,0,0,0,-0.6327455790121446,0.9416894166029828,-0.6609971039717604,-0.6131519976476725,-0.6393291468669868,-0.5500940220590584
2,4405,0,0,1,0,0,0,0,0,0,0,0,1,0.5234974317918438,-0.18062896672763926,-1.1189651178984787,0.7054440767509524,0.6733572907248586,0.6976530832156208
3,1687,0,0,1,0,0,0,0,1,0,0,0,0,-0.6117229788157084,0.8013996186866531,-1.1189651178984787,-0.5507859671017913,-0.5414891639408864,-0.47838441830764034
4,1962,0,0,1,0,0,1,0,0,0,0,0,0,-0.6117229788157084,-0.11048406776947446,-0.203029090045042,-0.5418765341666657,-0.47626250865681957,-0.535752101308775
2,6254,0,0,1,0,0,0,0,0,0,1,0,0,0.9229268355241306,-0.3209187646439689,-0.203029090045042,1.0796402600262378,0.9342639118611255,0.9988334189715778
1,5164,0,0,0,1,0,1,0,0,0,0,0,0,0.6075878325775885,-0.39106366360212874,1.1708749517351131,0.7678101072968329,0.7304306140984166,0.7263369247161876
7,4032,0,0,0,0,1,1,0,0,0,0,0,0,-0.4855873776370916,-0.3209187646439689,-0.203029090045042,-0.3636878754641487,-0.2724292108941107,-0.36364905230537087
6,798,0,0,0,0,1,0,0,0,0,1,0,0,-0.9480845819586868,-0.39106366360212874,1.1708749517351131,-1.1031708090795935,-0.9736157551978295,-1.1094289313201215
3,9678,1,0,0,0,0,0,0,0,0,1,0,0,1.4905370408279066,-3.0565698240123567,1.6288429656618317,1.5607496385230333,1.537610473238744,1.142252626474414
4,2526,0,0,1,0,0,0,0,0,1,0,0,0,-0.25433877547629374,-0.040339168811309646,-1.1189651178984787,-0.02512942392936679,-0.06859591313140181,-0.04812679579913056
2,599,1,0,0,0,0,0,0,1,0,0,0,0,-1.0531975829408677,1.993862900975435,-0.6609971039717604,-1.3080877665874884,-1.21821571251308,-1.138112772820689
4,5908,1,0,0,0,0,0,0,0,1,0,0,0,0.418384430809663,1.8535731030591154,-0.6609971039717604,0.5094365521781834,0.4206040014990992,0.7263369247161876
2,2224,0,0,0,1,0,0,1,0,0,0,0,0,-0.25433877547629374,0.1700955280631798,0.7129069378083949,-0.06076715566987019,-0.07674924504191,-0.04812679579913056
3,738,0,0,1,0,0,0,1,0,0,0,0,0,-0.990129782351559,-0.8820779563092774,-1.1189651178984787,-1.0853519432093424,-0.9654624232873213,-1.1524546935709723
1,947,0,0,0,0,1,0,0,0,0,0,0,1,-0.6327455790121446,-0.7417881583929478,-0.203029090045042,-0.559695400036917,-0.5007225043883449,-0.6218036258104771
2,1154,0,0,0,1,0,0,0,0,0,1,0,0,-0.5486551782263999,-0.5313534615184583,0.25493892388167644,-0.45278220481540676,-0.38657585764122815,-0.4927263390579237
3,5155,0,0,0,0,1,0,0,0,0,1,0,0,0.5865652323811523,0.3103853259795094,-0.203029090045042,0.6787157779455747,0.6570506269038415,0.7406788454664709
1,6548,0,0,1,0,0,0,0,0,1,0,0,0,1.0070172363098753,-0.4612085625602935,0.25493892388167644,1.1063685588316154,1.0484105586082428,1.0562011019727124
0,1637,1,0,0,0,0,0,0,0,0,1,0,0,0.3342940300239183,-0.18062896672763926,2.5447789935152683,0.42925165576205093,0.25753736328893195,0.3391050644585285
3,1919,0,0,1,0,0,0,1,0,0,0,0,0,-0.4855873776370916,-0.671643259434788,-0.6609971039717604,-0.354778442529023,-0.30504253853614416,-0.40667481455622223
3,3192,0,0,1,0,0,0,1,0,0,0,0,0,-0.08615797390480462,-0.18062896672763926,-0.6609971039717604,0.16196866770827587,0.11893072081028998,0.1239762532042736
2,554,0,0,0,1,0,0,0,0,0,1,0,0,-1.0531975829408677,0.8013996186866531,0.7129069378083949,-1.299178333652362,-1.2263690444235882,-1.2385062180726745
2,5936,0,0,1,0,0,1,0,0,0,0,0,0,0.6916782333633327,0.029805730146850177,-0.6609971039717604,0.8925421683885951,0.7630439417404501,0.869756132219025
5,10395,0,0,1,0,0,0,0,0,1,0,0,0,0.9229268355241306,-0.25077386568580406,0.25493892388167644,1.0172742294803567,0.9587239075926508,0.9988334189715778
2,616,0,0,0,0,1,0,0,1,0,0,0,0,-0.9060393815658145,0.45067512389583403,0.7129069378083949,-1.049714211468839,-0.9328490956452878,-0.9803516445675688
2,755,0,1,0,0,0,0,0,1,0,0,0,0,-0.82194898078007,1.0819792145193075,-0.203029090045042,-0.9338915833122022,-0.8350091127191875,-0.8082485955641646
3,7190,0,0,1,0,0,0,1,0,0,0,0,0,0.5655426321847161,-1.2328024511000966,-0.6609971039717604,0.8034478390373363,0.7141239502774003,0.6259434794642021
4,2241,0,1,0,0,0,0,0,0,1,0,0,0,-0.31740657606560224,-1.2328024511000966,1.3540621573058,-0.12313318621575134,-0.03598258548936836,-0.22022984480253407
6,1001,0,0,1,0,0,0,1,0,0,0,0,0,-0.9691071821551229,0.029805730146850177,-0.203029090045042,-1.1298991078849714,-1.014382414750371,-1.1094289313201215
2,6019,0,0,0,0,1,0,0,0,0,1,0,0,0.8388364347383859,0.5208200228539989,0.7129069378083949,0.8212667049075884,0.7956572693824835,0.9127818944698751
4,4328,0,0,1,0,0,0,0,0,0,1,0,0,0.25020362923817385,-0.6014983604766232,-0.203029090045042,0.5272554180484355,0.44506399723062445,0.42515658896023056
4,2707,1,0,0,0,0,0,0,1,0,0,0,0,-0.19127097488698547,-3.1267147229705214,4.376651049222142,0.19760639944877925,0.012937405973681452,-0.26325560705338547
2,526,0,0,0,0,1,0,1,0,0,0,0,0,-1.0531975829408677,0.09995062910501498,0.25493892388167644,-1.3080877665874884,-1.1529890572290131,-1.2671900595732417
7,901,0,0,1,0,0,0,0,1,0,0,0,0,-1.0321749827444313,-0.39106366360212874,-0.6609971039717604,-1.2100840043011039,-1.0877624019449461,-1.2241642973223912
4,5055,0,0,0,1,0,0,0,0,0,1,0,0,0.670655633166897,-1.5133820469327508,-0.203029090045042,0.9638176318696019,0.8364239289350252,0.7263369247161876
1,4398,0,0,1,0,0,0,0,0,0,1,0,0,0.46042963120253527,-0.7417881583929478,-0.203029090045042,0.7143535096860781,0.6244372992618081,0.5972596379636348
4,3418,0,0,0,0,1,0,0,0,0,0,0,1,0.2081584288453015,0.45067512389583403,0.25493892388167644,0.3668856252161706,0.36353067812554124,0.4394985097105146
1,6730,0,0,1,0,0,0,0,0,1,0,0,0,1.1962206380778007,0.7312547197284883,-0.203029090045042,1.231100619923377,1.0728705543397674,1.3000137547275348
1,2365,0,0,1,0,0,0,0,1,0,0,0,0,-0.19127097488698547,0.2402404270213446,-1.5769331318251971,-0.01621999099424114,-0.0033692578473349106,0.023582807952288162
1,4401,0,0,1,0,0,0,0,0,0,1,0,0,0.5445200319882799,-1.1626575521419316,0.7129069378083949,0.8123572719724627,0.7222772821879084,0.6402854002144861
1,2125,0,0,0,0,1,0,0,0,0,1,0,0,-0.04411277351193228,0.8013996186866531,-1.1189651178984787,0.08178377129214341,0.10262405698927361,0.19568585695569232
3,3176,0,0,1,0,0,0,1,0,0,0,0,0,-0.21229357508342164,-0.4612085625602935,-0.6609971039717604,-0.007310558059114696,0.012937405973681452,-0.04812679579913056
4,1847,0,0,1,0,0,0,0,0,1,0,0,0,-0.5486551782263999,0.1700955280631798,-0.6609971039717604,-0.4438727718802811,-0.4354958491042779,-0.435358656056789
1,4312,0,0,0,0,1,0,1,0,0,0,0,0,0.418384430809663,-0.8119330573511125,1.6288429656618317,0.5807120156591902,0.56736397588825,0.4968661927116493
4,1079,0,0,0,1,0,0,1,0,0,0,0,0,-0.82194898078007,0.029805730146850177,0.25493892388167644,-0.8982538515716989,-0.8105491169876622,-0.8799581993155827
4,13587,0,0,0,0,1,0,0,0,0,0,1,0,2.1632602471138633,0.09995062910501498,-0.203029090045042,1.8814892241875631,1.765903766732978,1.9167163469897321
2,1116,0,0,0,1,0,0,0,0,0,1,0,0,-0.6117229788157084,0.09995062910501498,-0.6609971039717604,-0.5418765341666657,-0.508875836298853,-0.535752101308775
1,4344,0,0,1,0,0,0,0,0,0,1,0,0,0.5865652323811523,0.2402404270213446,-0.6609971039717604,0.7143535096860781,0.6978172864563832,0.7693626869670389
1,2241,0,0,1,0,0,0,0,1,0,0,0,0,-0.1702483746905493,0.2402404270213446,-0.203029090045042,-0.01621999099424114,0.004784074063173271,0.023582807952288162
6,789,0,0,0,0,1,0,0,0,1,0,0,0,-1.0531975829408677,0.7312547197284883,0.25493892388167644,-1.3080877665874884,-1.1774490529605384,-1.2241642973223912
3,4659,0,0,0,1,0,0,0,0,0,0,1,0,0.6075878325775885,-0.3209187646439689,0.25493892388167644,0.7945384061022106,0.6815106226353668,0.7263369247161876
2,7365,0,1,0,0,0,0,0,0,0,0,1,0,1.4905370408279066,1.5028486082682913,2.5447789935152683,1.3023760834043838,1.1625572053553597,1.5008006452315057
3,1002,0,0,1,0,0,1,0,0,0,0,0,0,-0.990129782351559,0.5208200228539989,-1.1189651178984787,-1.1477179737552228,-1.0877624019449461,-1.1094289313201215
1,335,0,1,0,0,0,0,0,0,0,0,0,1,-1.0321749827444313,1.0819792145193075,0.25493892388167644,-1.2457217360416073,-1.1366823934079968,-1.138112772820689
2,1355,0,0,1,0,0,0,1,0,0,0,0,0,-0.6117229788157084,-0.6014983604766232,-1.5769331318251971,-0.5062388024261623,-0.4354958491042779,-0.5500940220590584
3,2101,0,1,0,0,0,0,0,0,1,0,0,0,-0.2963839758691661,-2.565555531305208,1.1250781503424407,-0.05185772273474454,-0.019675921668351998,-0.3349652108048035
1,4430,0,0,0,1,0,0,0,0,0,1,0,0,0.6916782333633327,-1.6536718448490804,0.25493892388167644,0.9459987659993498,0.8119639332035006,0.6833111624653362
4,1329,0,0,1,0,0,0,0,0,0,1,0,0,-0.7799037803871977,-0.39106366360212874,-1.1189651178984787,-0.7735217904799374,-0.6882491383300366,-0.7939066748138807
6,1017,0,0,1,0,0,0,0,0,0,1,0,0,-0.842971580976506,0.38053022493766925,-1.5769331318251971,-0.8893444186365732,-0.7942424531666459,-0.8369324370647321
5,537,0,1,0,0,0,0,0,0,1,0,0,0,-1.2003557843159207,1.4327037093101265,-0.6609971039717604,-1.6020990534466408,-1.5035823293808726,-1.4966607915777808
3,9257,0,0,0,1,0,1,0,0,0,0,0,0,0.9019042353276944,0.5909649218121636,-2.492869159678634,1.0618213941559858,0.9261105799506173,1.1135687849738471
0,6532,1,0,0,0,0,0,0,1,0,0,0,0,2.5206444504532777,3.0460363853478922,-0.203029090045042,1.8725797912524373,1.5946837966123026,2.289606286497107
3,561,0,0,0,1,0,0,0,0,1,0,0,0,-1.0111523825479953,0.38053022493766925,1.1708749517351131,-1.2189934372362294,-1.0959157338554544,-1.1667966143212563
6,10887,0,0,1,0,0,0,1,0,0,0,0,0,0.4394070310060991,0.3103853259795094,-0.203029090045042,0.5718025827240646,0.56736397588825,0.6402854002144861
2,7991,0,0,0,1,0,0,0,0,1,0,0,0,1.2382658384706726,-0.3209187646439689,0.7129069378083949,1.3380138151448873,1.1462505415343434,1.2426460717264
3,17068,0,0,1,0,0,0,0,0,0,0,1,0,2.7729156528105117,0.6611098207703285,-0.6609971039717604,2.1576816451764644,2.034963719779754,2.289606286497107
3,6159,0,0,1,0,0,0,0,0,1,0,0,0,0.4394070310060991,-0.11048406776947446,-0.203029090045042,0.5985308815294423,0.56736397588825,0.5972596379636348
3,8062,0,0,1,0,0,0,0,0,1,0,0,0,0.8808816351312582,0.1700955280631798,-0.203029090045042,1.0172742294803567,0.8853439203980756,1.0131753397218612
4,596,0,0,0,1,0,0,0,0,0,1,0,0,-0.9691071821551229,-0.671643259434788,0.7129069378083949,-1.120989674949845,-0.9899224190188458,-1.1524546935709723
7,918,0,0,1,0,0,0,0,0,1,0,0,0,-1.0111523825479953,0.029805730146850177,-1.1189651178984787,-1.183355705495726,-1.0714557381239298,-1.1667966143212563
2,5638,0,0,0,0,1,0,0,1,0,0,0,0,0.8388364347383859,0.9416894166029828,0.25493892388167644,0.9014516013237208,0.7630439417404501,0.9988334189715778
3,829,0,0,1,0,0,1,0,0,0,0,0,0,-0.9480845819586868,0.5208200228539989,-1.1189651178984787,-1.1031708090795935,-0.9736157551978295,-1.0233774068184196
5,1668,0,0,1,0,0,0,0,0,0,1,0,0,-0.5276325780299637,-0.11048406776947446,-1.1189651178984787,-0.3904161742695264,-0.3539625299991947,-0.40667481455622223
3,828,0,0,1,0,0,0,0,1,0,0,0,0,-1.0111523825479953,0.7312547197284883,-2.0349011457519155,-1.2100840043011039,-1.1448357253185049,-1.1524546935709723
4,2804,0,0,1,0,0,0,0,1,0,0,0,0,-0.1702483746905493,-0.040339168811309646,-0.203029090045042,0.001598874876010956,0.021090737884189633,0.009240887202004163
1,6901,0,0,1,0,0,0,1,0,0,0,0,0,1.5746274416136512,0.38053022493766925,-1.1189651178984787,1.5162024738474043,1.325623843565527,1.5294844867320736
7,1044,0,0,0,1,0,0,0,0,1,0,0,0,-0.9480845819586868,-0.8119330573511125,1.1708749517351131,-1.0675330773390903,-0.9573090913768124,-1.1237708520704057
1,2043,0,0,0,1,0,0,0,1,0,0,0,0,-0.21229357508342164,-0.18062896672763926,0.25493892388167644,0.001598874876010956,-0.060442581220893625,-0.04812679579913056
4,7310,0,0,0,1,0,0,0,1,0,0,0,0,0.6496330329704608,0.7312547197284883,-0.6609971039717604,0.7856289731670849,0.6733572907248586,0.8554142114687403
6,478,0,0,0,0,1,0,0,1,0,0,0,0,-1.1793331841194845,-1.6536718448490804,1.1708749517351131,-1.5130047240953823,-1.356822354991722,-1.6257380783303335
5,2175,0,0,1,0,0,0,0,1,0,0,0,0,-0.5696777784228361,0.2402404270213446,-0.6609971039717604,-0.5240576682964135,-0.42734251719376976,-0.4640424975573563
5,906,0,0,1,0,0,0,0,0,0,1,0,0,-0.9480845819586868,0.5208200228539989,-0.203029090045042,-1.0675330773390903,-1.0306890785713876,-1.0377193275687036
4,675,0,0,1,0,0,0,0,0,0,1,0,0,-1.0531975829408677,0.38053022493766925,-1.1189651178984787,-1.2457217360416073,-1.1856023848710466,-1.2241642973223912
1,8333,0,0,0,1,0,0,0,0,0,1,0,0,1.6797404425958322,-1.6536718448490804,0.7129069378083949,1.6587534008094171,1.472383817954677,1.3717233584789528
1,6112,0,1,0,0,0,0,0,0,0,0,0,1,1.7217856429887044,1.7132833051427856,2.08681097958855,1.4181987115610197,1.3582371712075603,1.7015875357354777
6,1161,0,0,0,0,1,0,0,1,0,0,0,0,-0.82194898078007,0.38053022493766925,-1.5769331318251971,-0.8804349857014476,-0.7779357893456288,-0.822590516314448
2,4788,0,0,0,1,0,0,0,0,0,1,0,0,0.418384430809663,-0.3209187646439689,1.1708749517351131,0.5718025827240646,0.49398398869367427,0.5112081134619326
5,15952,0,0,0,0,1,0,0,0,0,0,1,0,2.541667050649713,1.222269012435637,0.25493892388167644,1.9438552547334442,1.692523779538403,2.088819395993136
1,2655,0,0,0,0,1,0,0,1,0,0,0,0,-0.023090173315496114,0.5909649218121636,-0.203029090045042,0.09069320422726906,0.09447072507876544,0.16700201545512497
4,3398,0,0,0,0,1,0,0,1,0,0,0,0,-0.023090173315496114,-2.214831036514389,-0.203029090045042,0.30451959467028944,0.32276401857299886,0.05226664945285552
3,847,0,0,1,0,0,0,0,0,1,0,0,0,-0.8009263805836337,-0.39106366360212874,-0.6609971039717604,-0.8358878210258185,-0.7371691297930871,-0.8512743578150154
3,1007,0,0,1,0,0,1,0,0,0,0,0,0,-0.82194898078007,0.3103853259795094,-1.5769331318251971,-0.8626161198311962,-0.7616291255246124,-0.8082485955641646
3,972,0,0,1,0,0,1,0,0,0,0,0,0,-1.0111523825479953,0.1700955280631798,-1.1189651178984787,-1.1744462725606004,-1.1122223976764716,-1.1667966143212563
2,6888,0,0,0,1,0,0,0,0,0,0,1,0,1.4695144406314704,0.38053022493766925,0.25493892388167644,1.4181987115610197,1.2033238649079012,1.4147491207298042
7,873,0,0,1,0,0,0,0,1,0,0,0,0,-1.0531975829408677,-0.9522228552674422,1.1708749517351131,-1.2635406019118585,-1.1366823934079968,-1.3245577425743766
6,698,0,0,1,0,0,0,0,0,0,1,0,0,-1.0111523825479953,-0.25077386568580406,-1.1189651178984787,-1.1922651384308518,-1.0469957423924046,-1.1811385350715398
3,1822,0,0,1,0,0,1,0,0,0,0,0,0,-0.5907003786192722,0.09995062910501498,-0.203029090045042,-0.53296710123154,-0.46810917674631136,-0.5070682598082077
4,452,0,0,0,1,0,0,0,1,0,0,0,0,-1.137287983726612,-1.5835269458909156,0.25493892388167644,-1.3882726630036208,-1.2426757082446052,-1.4966607915777808
4,17227,0,0,1,0,0,0,0,0,0,0,1,0,2.541667050649713,-0.25077386568580406,0.7129069378083949,2.0685873158252064,1.9452770687641625,2.045793633742285
4,1154,0,0,0,0,1,0,0,0,1,0,0,0,-0.7378585799943252,-1.2328024511000966,-0.1572322886523695,-0.6666085952584272,-0.5822558234934281,-0.7795647540635973
4,3401,0,0,0,1,0,0,1,0,0,0,0,0,-0.12820317429767697,-0.4612085625602935,0.25493892388167644,0.09069320422726906,0.05370406552622308,0.023582807952288162
3,666,0,0,1,0,0,0,0,1,0,0,0,0,-0.990129782351559,-0.25077386568580406,-0.203029090045042,-1.1477179737552228,-1.0306890785713876,-1.1524546935709723
2,6097,0,0,1,0,0,1,0,0,0,0,0,0,0.4394070310060991,0.8715445176448179,-0.203029090045042,0.6163497473996936,0.4858306567831661,0.6833111624653362
6,840,0,0,1,0,0,0,0,1,0,0,0,0,-1.0321749827444313,-0.4612085625602935,-1.1189651178984787,-1.2100840043011039,-1.1040690657659633,-1.2385062180726745
4,2184,0,1,0,0,0,0,0,0,0,0,1,0,-0.06513537370836846,1.643138406184616,-1.1189651178984787,0.05505547248676566,0.09447072507876544,0.2673954607071104
0,1786,1,0,0,0,0,0,0,0,0,0,1,0,0.2081584288453015,3.8176302738877,1.1708749517351131,0.19760639944877925,0.1107773888997818,0.6259434794642021
3,1328,0,0,0,0,1,0,0,0,0,1,0,0,-0.6117229788157084,-1.1626575521419316,1.0792813489497683,-0.53296710123154,-0.4518025129252943,-0.6361455465607605
6,1453,0,0,1,0,0,0,0,0,1,0,0,0,-0.716835979797889,-0.7417881583929478,-0.203029090045042,-0.6755180281935529,-0.5822558234934281,-0.7221970710624626
1,3861,0,0,0,1,0,0,0,0,0,0,1,0,0.5024748315954076,0.2402404270213446,0.7129069378083949,0.6430780462050714,0.6325906311723163,0.6976530832156208
7,2279,0,0,1,0,0,0,0,0,0,0,0,1,-0.1702483746905493,0.1700955280631798,-1.1189651178984787,0.001598874876010956,0.021090737884189633,0.03792472870257153
5,2542,0,0,0,0,1,1,0,0,0,0,0,0,-0.5696777784228361,-0.8820779563092774,-0.203029090045042,-0.45278220481540676,-0.3539625299991947,-0.5070682598082077
4,612,0,0,1,0,0,0,0,1,0,0,0,0,-1.0531975829408677,-0.18062896672763926,-1.1189651178984787,-1.272450034846985,-1.1448357253185049,-1.2671900595732417
1,1436,0,0,1,0,0,1,0,0,0,0,0,0,-0.46456477744065544,-0.39106366360212874,-0.203029090045042,-0.31914071078851963,-0.2724292108941107,-0.3493071315550875
1,14426,0,1,0,0,0,0,0,0,0,1,0,0,2.541667050649713,0.38053022493766925,1.1708749517351131,1.9705835535388219,1.8148237581960278,2.0314517129920016
5,2106,0,0,0,0,1,0,0,0,0,0,1,0,-0.21229357508342164,-2.214831036514389,1.1708749517351131,0.046146039551640004,0.13523738463130708,-0.16286216180139937
3,1722,0,0,0,0,1,1,0,0,0,0,0,0,-0.6117229788157084,1.0118343155611476,-0.6609971039717604,-0.6220614305827982,-0.5414891639408864,-0.4927263390579237
1,366,0,0,1,0,0,0,0,0,0,0,0,1,-0.990129782351559,0.45067512389583403,-1.5769331318251971,-1.1655368396254748,-1.0551490743029128,-1.1094289313201215
2,447,0,0,0,0,1,0,0,0,1,0,0,0,-1.0531975829408677,-1.3730922490164261,-0.203029090045042,-1.2635406019118585,-1.1203757295869796,-1.3532415840749439
2,7153,0,0,1,0,0,1,0,0,0,0,0,0,0.670655633166897,-0.8820779563092774,-0.6609971039717604,0.9014516013237208,0.8445772608455341,0.7837046077173223
5,1985,0,0,1,0,0,0,0,0,1,0,0,0,-0.5486551782263999,-0.25077386568580406,-1.1189651178984787,-0.46169163775053323,-0.36211586190970285,-0.449700576807073
4,3001,0,1,0,0,0,1,0,0,0,0,0,0,-0.21229357508342164,1.2924139113938018,1.1708749517351131,-0.1142237532806249,-0.18274255987851926,-0.005101033548279199
3,852,0,0,1,0,0,1,0,0,0,0,0,0,-0.9270619817622506,-0.5313534615184583,-0.6609971039717604,-1.0229859126634613,-0.9083890999137626,-1.0520612483189868
4,2033,0,0,1,0,0,1,0,0,0,0,0,0,-0.6327455790121446,0.45067512389583403,-1.7143235360032114,-0.5864236988422947,-0.508875836298853,-0.5214101805584911
3,6007,0,0,0,0,1,0,0,0,0,0,1,0,0.9859946361134391,0.5909649218121636,0.7129069378083949,0.9994553636101053,0.983183903324176,1.1135687849738471
1,15874,0,0,1,0,0,0,0,0,0,1,0,0,2.6047348512390225,-0.39106366360212874,-0.6609971039717604,2.1844099439818416,2.043117051690262,2.1318451582439875
4,1830,0,0,0,0,1,0,1,0,0,0,0,0,-0.5696777784228361,0.09995062910501498,0.7129069378083949,-0.515148235361288,-0.4354958491042779,-0.47838441830764034
3,765,0,0,0,0,1,0,0,0,1,0,0,0,-0.9691071821551229,0.9416894166029828,-0.203029090045042,-1.1298991078849714,-1.0714557381239298,-1.0520612483189868
2,4948,0,0,0,1,0,0,0,0,1,0,0,0,0.5024748315954076,0.5909649218121636,-1.1189651178984787,0.6698063450104491,0.551057312067233,0.7119950039659042
3,13225,0,0,0,0,1,0,0,0,1,0,0,0,1.532582241220779,-2.0043963396398996,0.7129069378083949,1.6409345349391657,1.5213038094177276,1.3286975962281016
2,4211,0,0,0,0,1,0,1,0,0,0,0,0,0.22918102904173768,-0.8820779563092774,1.6288429656618317,0.402523356956674,0.39614400576757464,0.31042122295796115
1,522,0,0,0,1,0,1,0,0,0,0,0,0,-0.9480845819586868,-0.671643259434788,0.25493892388167644,-1.094261376144468,-0.9573090913768124,-1.1237708520704057
0,2239,1,0,0,0,0,0,0,0,0,0,1,0,0.5445200319882799,1.923718002017275,-0.203029090045042,0.651987479140197,0.4776773248726579,0.841072290718457
2,2731,0,0,1,0,0,0,1,0,0,0,0,0,-0.1702483746905493,-0.3209187646439689,-0.6609971039717604,0.028327173681387912,0.05370406552622308,0.009240887202004163
3,1689,0,0,0,0,1,0,1,0,0,0,0,0,-0.5907003786192722,0.38053022493766925,-0.203029090045042,-0.5686048329720435,-0.46810917674631136,-0.4927263390579237
2,4632,0,0,0,0,1,0,0,1,0,0,0,0,0.4394070310060991,1.222269012435637,0.25493892388167644,0.4916176863079321,0.40429733767808285,0.6259434794642021
3,1063,0,0,0,1,0,1,0,0,0,0,0,0,-0.9480845819586868,0.09995062910501498,0.25493892388167644,-1.0140764797283355,-1.006229082839863,-1.0377193275687036
2,6610,0,0,1,0,0,1,0,0,0,0,0,0,0.4814522313989715,-0.3209187646439689,-0.6609971039717604,0.6608969120753234,0.6488972949933334,0.6402854002144861
